united states,tag,,,currency,id,,symbol
united states,bread,,,USD,1066594,,BRD
united states,,,,,,,DEC
united states,qash,,,USD,1061470,,QASH
united states,,,,,,,MINT
united states,metronome,,,USD,1094107,,MET
united states,,,,,,,CGG
united states,,,,,,,ZEE
united states,,,,,,,WOM
united states,,,,,,,BUX
united states,,,,,,,FOR
united states,,,,,,,$ANRX
united states,,,,,,,NSBT
united states,,,,,,,ALEPH
united states,,,,,,,DIP
united states,,,,,,,SHA
united states,,,,,,,vUSDT
united states,genesis-vision,,,USD,1065481,,GVT
united states,,,,,,,UMX
united states,,,,,,,DAC
united states,,,,,,,TXL
united states,,,,,,,vSXP
united states,oax,,,USD,1070432,,OAX
united states,deepbrain-chain,,,USD,1066723,,DBC
united states,,,,,,,MEETONE
united states,,,,,,,LGCY
united states,,,,,,,SOCKS
united states,loki,,,USD,1152980,,LOKI
united states,high-performance-blockchain,,,USD,1065172,,HPB
united states,babb,,,USD,1094106,,BAX
united states,dero,,,USD,1096010,,DERO
united states,,,,,,,CUT
united states,,,,,,,ASTA
united states,,,,,,,GSWAP
united states,,,,,,,GARD
united states,,,,,,,FOAM
united states,,,,,,,IHF
united states,,,,,,,BAO
united states,,,,,,,USDK
united states,poa,,,USD,1072122,,POA
united states,,,,,,,TOP
united states,,,,,,,DVP
united states,,,,,,,ASK
united states,,,,,,,STAX
united states,sirin-labs-token,,,USD,1066706,,SRN
united states,,,,,,,MTXLT
united states,digitex-futures,,,USD,1095126,,DGTX
united states,,,,,,,OPIUM
united states,qlink,,,USD,1066730,,QLC
united states,,,,,,,RBC
united states,,,,,,,BTR
united states,,,,,,,NRV
united states,,,,,,,GEO
united states,,,,,,,TRTL
united states,,,,,,,mNFLX
united states,,,,,,,CON
united states,,,,,,,EL
united states,lgo-token,,,USD,1094094,,LGO
united states,wepower,,,USD,1066745,,WPR
united states,,,,,,,TON
united states,,,,,,,mSLV
united states,,,,,,,OST
united states,blox,,,USD,1061488,,CDT
united states,,,,,,,PSG
united states,pumapay,,,USD,1117866,,PMA
united states,,,,,,,PTF
united states,,,,,,,YF-DAI
united states,,,,,,,PROPS
united states,,,,,,,HEZ
united states,,,,,,,mAMZN
united states,obyte,,,USD,1066625,,GBYTE
united states,,,,,,,ELAMA
united states,,,,,,,mAAPL
united states,,,,,,,TRADE
united states,,,,,,,MARK
united states,,,,,,,CUDOS
united states,,,,,,,UMB
united states,,,,,,,DNA
united states,dynamic,,,USD,1071276,,DYN
united states,xyo,,,USD,1094078,,XYO
united states,blocknet,,,USD,1062838,,BLOCK
united states,buggyra-coin-zero,,,USD,1117403,,BCZERO
united states,,,,,,,ZEON
united states,,,,,,,ARDX
united states,,,,,,,mTWTR
united states,namecoin,,,USD,1117899,,NMC
united states,,,,,,,PAINT
united states,,,,,,,RKN
united states,,,,,,,mMSFT
united states,moeda-loyalty-points,,,USD,1057882,,MDA
united states,matrix-ai-network,,,USD,1089385,,MAN
united states,,,,,,,PICKLE
united states,,,,,,,ACM
united states,,,,,,,NFT
united states,,,,,,,NEW
united states,,,,,,,mQQQ
united states,salt,,,USD,1057840,,SALT
united states,,,,,,,RARI
united states,,,,,,,BOND
united states,quantum-resistant-ledger,,,USD,1066565,,QRL
united states,cardstack,,,USD,1089374,,CARD
united states,cybermiles,,,USD,1066545,,CMT
united states,truechain,,,USD,1094180,,TRUE
united states,,,,,,,mBABA
united states,,,,,,,JOB
united states,egretia,,,USD,1141881,,EGT
united states,,,,,,,NVT
united states,metaverse,,,USD,1061458,,ETP
united states,,,,,,,XSGD
united states,,,,,,,SSX
united states,,,,,,,UDO
united states,,,,,,,NIOX
united states,,,,,,,GLEEC
united states,,,,,,,DUCATO
united states,factom,,,USD,1066623,,FCT
united states,,,,,,,BHD
united states,maximine-coin,,,USD,1117705,,MXM
united states,,,,,,,SFT
united states,hydro-protocol,,,USD,1129254,,HOT
united states,,,,,,,BTC2
united states,,,,,,,MOON
united states,,,,,,,mIAU
united states,,,,,,,EUNO
united states,,,,,,,YOP
united states,,,,,,,TRV
united states,viacoin,,,USD,1066569,,VIA
united states,,,,,,,EOSC
united states,,,,,,,mUSO
united states,everex,,,USD,1061527,,EVX
united states,,,,,,,XCASH
united states,,,,,,,CBK
united states,,,,,,,FUSE
united states,,,,,,,KRL
united states,,,,,,,VIDY
united states,,,,,,,mVIXY
united states,,,,,,,DOWS
united states,yoyow,,,USD,1061472,,YOYOW
united states,viberate,,,USD,1061462,,VIB
united states,,,,,,,JUV
united states,,,,,,,AME
united states,tachyon-protocol,,,USD,1160923,,IPX
united states,,,,,,,DOKI
united states,,,,,,,UNISTAKE
united states,,,,,,,SCC
united states,agrello-delta,,,USD,1070371,,DLT
united states,,,,,,,EMRX
united states,medishares,,,USD,1061503,,MDS
united states,,,,,,,BF
united states,,,,,,,FNB
united states,,,,,,,SYNC
united states,ruff,,,USD,1094190,,RUFF
united states,,,,,,,vLINK
united states,flo,,,USD,1066680,,FLO
united states,,,,,,,PROS
united states,,,,,,,AWC
united states,,,,,,,DOS
united states,proximax,,,USD,1117865,,XPX
united states,,,,,,,BAAS
united states,,,,,,,KEX
united states,monetha,,,USD,1061797,,MTH
united states,,,,,,,DRC
united states,achain,,,USD,1065169,,ACT
united states,,,,,,,PGT
united states,,,,,,,SWRV
united states,,,,,,,BIRD
united states,,,,,,,NIX
united states,sonm,,,USD,1061492,,SNM
united states,,,,,,,TFB
united states,,,,,,,APM
united states,singulardtv,,,USD,1061832,,SNGLS
united states,,,,,,,CNTR
united states,,,,,,,BAC
united states,digitalnote,,,USD,1061475,,XDN
united states,arcblock,,,USD,1071160,,ABT
united states,,,,,,,VALOR
united states,,,,,,,PKF
united states,,,,,,,vLTC
united states,,,,,,,KDAG
united states,prizm,,,USD,1066683,,PZM
united states,,,,,,,ZEL
united states,,,,,,,GEEQ
united states,,,,,,,GLCH
united states,,,,,,,GXT
united states,,,,,,,KAT
united states,,,,,,,ACH
united states,,,,,,,UIP
united states,,,,,,,SIG
united states,,,,,,,GOM2
united states,,,,,,,EGG
united states,ubiq,,,USD,1065392,,UBQ
united states,,,,,,,S4F
united states,,,,,,,USDJ
united states,pressone,,,USD,1071974,,PRS
united states,,,,,,,PAR
united states,,,,,,,FLG
united states,,,,,,,IDLE
united states,,,,,,,TOWER
united states,,,,,,,DEXA
united states,,,,,,,CTCN
united states,blockv,,,USD,1061468,,VEE
united states,,,,,,,DGTX
united states,,,,,,,ROOK
united states,,,,,,,PNT
united states,b2bx,,,USD,1070453,,B2B
united states,,,,,,,HGET
