country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,Vanguard S&P 500 UCITS Acc,Vanguard S&P 500 UCITS ETF USD Accumulation,,vanguard-s-p-500-ucits-acc?cid=1131592,1131592,IE00BFMXXD54,VUAA,USD,London,FALSE
united kingdom,Vanguard Global Aggregate Bond UCITS GBP Hedged In,Vanguard Global Aggregate Bond UCITS ETF GBP Hedged Income,,vanguard-glbl-agg-bond-gbp-hdg-inc,1140512,IE00BG47KG48,VAGP,GBP,London,TRUE
united kingdom,Vanguard FTSE All-World UCITS USD Acc,Vanguard FTSE All-World UCITS ETF USD Accumulation,,vanguard-ftse-all-world-ucits-acc,1142365,IE00BK5BQT80,VWRA,USD,London,TRUE
united kingdom,Vanguard S&P 500 UCITS Acc,Vanguard S&P 500 UCITS Acc,,vanguard-s-p-500-ucits-acc,1131590,IE00BFMXXD54,VAVUAG,GBP,London,TRUE
united kingdom,Vanguard USD Corporate 1-3 year Bond UCITS,Vanguard USD Corporate 1-3 year Bond UCITS ETF,,vanguard-usd-corp-1-3-y-bond-ucits?cid=1142347,1142347,IE00BDD48R20,VUSC,GBP,London,FALSE
united kingdom,Vanguard FTSE Developed Europe ex UK UCITS EUR Acc,Vanguard FTSE Developed Europe ex UK UCITS ETF EUR Accuimulation,,vanguard-ftse-dev-europe-x-uk-acc,1142364,IE00BK5BQY34,VERG,GBP,London,TRUE
united kingdom,WisdomTree UK Equity Income,WisdomTree UK Equity Income UCITS,,wisdomtree-uk-equity-income,1024541,IE00BYPGTJ26,WUKD,GBP,London,TRUE
united kingdom,Wisdomtree Europe Equity UK,Wisdomtree Europe Equity UCITS,,wisdomtree-europe-equity-uk,956300,IE00BVXBH163,HEDJ,USD,London,TRUE
united kingdom,WisdomTree ISEQ 20 UCITS,WisdomTree ISEQ 20 UCITS,,wisdomtree-iseq-20-ucits,956289,IE00BVFB1H83,ISQE,EUR,London,TRUE
united kingdom,WisdomTree Europe SmallCap,WisdomTree Europe SmallCap Dividend UCITS,,wisdomtree-europe-smallcap?cid=1024344,1024344,IE00BQZJC527,DFE,GBP,London,FALSE
united kingdom,WisdomTree EM Equity Income,WisdomTree Emerging Markets EquityIncome UCITS,,wisdomtree-em-equity-income?cid=945822,945822,IE00BQQ3Q067,WTDEM,GBP,London,FALSE
united kingdom,WisdomTree Emerging Markets SmallCap Div UCITS,WisdomTree Emerging Markets SmallCap Div UCITS,,wisdomtree-em-smallcap-div,945821,IE00BQZJBM26,WTDGSE,GBP,London,TRUE
united kingdom,WisdomTree Japan Equity Hedged,WisdomTree Japan Equity UCITS Hedged,,wisdomtree-japan-equity-hedged,1024537,IE00BYQCZF74,DXJP,GBP,London,TRUE
united kingdom,WisdomTree Europe Equity Hedged,WisdomTree Europe Equity UCITS Hedged,,wisdomtree-europe-equity-hedged,1024536,IE00BYQCZQ89,HEDP,GBP,London,TRUE
united kingdom,WisdomTree Enhanced Commodity A-USD Inc,WisdomTree Enhanced Commodity UCITS A-USD Inc,,wisdomtree-enhanced-comm-ausd-inc,1024533,IE00BZ1GHD37,WCOG,GBP,London,TRUE
united kingdom,WisdomTree Emerging Asia Equity Income,WisdomTree Emerging Asia Equity Income UCITS,,wisdomtree-emerg-asia-eq-income,1024532,IE00BYPGT035,DEMA,USD,London,TRUE
